STATION,ECOSYS,BIOME,MAT,MWMT,MCMT,MAP,MSP,DRYNESS,ABIELAS,ABIELAS_PA,BETUPAP,BETUPAP_PA,LARILAR,LARILAR_PA
324975,B-BSA,Boreal,-3.3,15.4,-30.2,518,302,75,0,0,0,0,0,0
336582,B-BSA,Boreal,-4.4,15.6,-30.6,489,291,90,0,0,0,0,0,0
344513,B-BSA,Boreal,-3.3,15,-29.6,517,285,60,0,0,0,0,0,0
384942,B-BSA,Boreal,-4.3,14.9,-30.7,482,299,90,0,0,0,0,0,0
391351,B-BSA,Boreal,-2.8,15.4,-29.3,505,305,52,0,0,0,0,0,0
333387,B-CM,Boreal,0.6,16.5,-26.5,509,298,42,0.09,1,3.9,1,4.34,1
345289,B-CM,Boreal,0.2,16.7,-28.6,481,299,40,0.07,1,4,1,4.78,1
355248,B-CM,Boreal,1.1,16.5,-27.5,486,314,32,0.08,1,3.5,1,4.56,1
369889,B-CM,Boreal,-0.1,17,-27.5,517,312,42,0.06,1,3.5,1,4.15,1
394585,B-CM,Boreal,0.2,16.5,-26.9,482,303,49,0.05,1,3.67,1,4.23,1
305773,B-CP,Boreal,3.3,17.3,-24.5,488,309,22,0,0,0.04,1,0,0
329232,B-CP,Boreal,3,16.9,-24.9,477,293,28,0,0,0.08,1,0,0
348363,B-CP,Boreal,4.4,17.4,-25.3,471,299,22,0,0,0.07,1,0,0
381684,B-CP,Boreal,3.6,16.9,-24.7,444,309,26,0,0,0.05,1,0,0
381902,B-CP,Boreal,3.5,17.1,-25.4,498,308,26,0,0,0.06,1,0,0
307370,B-DM,Boreal,1,16.4,-24.7,506,293,37,0,0,1,1,0.04,1
330507,B-DM,Boreal,1.2,16.3,-26.3,467,307,28,0,0,0.9,1,0.08,1
361092,B-DM,Boreal,0.9,16.5,-25.9,460,299,28,0,0,1.4,1,0.07,1
364112,B-DM,Boreal,1.7,16.7,-26.1,462,315,34,0,0,1.3,1,0.05,1
397981,B-DM,Boreal,1.6,16.7,-26.9,489,296,37,0,0,1.18,1,0.06,1
315571,B-LBH,Boreal,-0.4,15.4,-28.4,460,316,52,0.56,1,1.1,1,0,0
