math reading writing
460 370 480
530 540 530
600 610 410
610 630 520
480 680 540
450 800 630
430 570 400
430 460 440
580 340 620
600 600 460
370 370 420
590 410 620
620 470 500
380 480 380
370 470 410
290 400 460
390 360 570
680 690 520
470 650 640
560 700 640
570 460 520
380 480 400
620 540 490
510 520 390
540 410 510
590 630 660
560 540 510
480 510 450
350 680 370
480 450 520
540 580 480
480 540 440
490 570 460
440 470 310
530 550 440
470 600 550
520 250 450
310 380 420
480 580 470
340 280 340
