policyID,agecat,valuecat,period,numclaims,claim
1,2,9,1,0,0
1,2,9,2,0,0
1,2,9,3,0,0
2,4,9,1,0,0
2,4,9,2,0,0
2,4,9,3,0,0
3,2,2,1,0,0
3,2,2,2,2,1
3,2,2,3,1,1
4,2,2,1,0,0
4,2,2,2,2,1
4,2,2,3,0,0
5,2,9,1,0,0
5,2,9,2,0,0
5,2,9,3,0,0
6,4,9,1,0,0
6,4,9,2,0,0
6,4,9,3,0,0
7,4,9,1,1,1
7,4,9,2,0,0
7,4,9,3,0,0
8,6,9,1,0,0
8,6,9,2,0,0
8,6,9,3,0,0
9,10,9,1,1,1
9,10,9,2,1,1
9,10,9,3,0,0
10,4,9,1,0,0
10,4,9,2,0,0
10,4,9,3,0,0
11,2,9,1,0,0
11,2,9,2,0,0
11,2,9,3,0,0
12,4,9,1,0,0
12,4,9,2,0,0
12,4,9,3,0,0
13,4,9,1,0,0
13,4,9,2,0,0
13,4,9,3,0,0
14,5,3,1,0,0
14,5,3,2,0,0
14,5,3,3,0,0
15,6,9,1,0,0
15,6,9,2,0,0
15,6,9,3,0,0
16,4,9,1,0,0
16,4,9,2,0,0
16,4,9,3,0,0
17,4,9,1,0,0
17,4,9,2,0,0
17,4,9,3,0,0
18,4,9,1,0,0
18,4,9,2,0,0
18,4,9,3,0,0
19,2,9,1,1,1
19,2,9,2,0,0
19,2,9,3,1,1
20,10,9,1,0,0
20,10,9,2,0,0
20,10,9,3,0,0
21,1,9,1,0,0
21,1,9,2,0,0
21,1,9,3,2,1
22,5,9,1,0,0
22,5,9,2,0,0
22,5,9,3,0,0
23,2,2,1,0,0
23,2,2,2,0,0
23,2,2,3,1,1
24,1,9,1,0,0
24,1,9,2,0,0
24,1,9,3,0,0
25,2,9,1,0,0
25,2,9,2,0,0
25,2,9,3,0,0
26,1,9,1,0,0
26,1,9,2,0,0
26,1,9,3,0,0
27,5,9,1,0,0
27,5,9,2,0,0
27,5,9,3,0,0
28,2,9,1,0,0
28,2,9,2,1,1
28,2,9,3,1,1
29,10,9,1,0,0
29,10,9,2,0,0
29,10,9,3,0,0
30,2,9,1,0,0
30,2,9,2,1,1
30,2,9,3,0,0
31,10,2,1,0,0
31,10,2,2,1,1
31,10,2,3,0,0
32,4,9,1,1,1
32,4,9,2,1,1
32,4,9,3,0,0
33,10,9,1,1,1
33,10,9,2,0,0
33,10,9,3,0,0
34,2,2,1,0,0
34,2,2,2,0,0
34,2,2,3,1,1
35,1,9,1,0,0
35,1,9,2,0,0
35,1,9,3,0,0
36,4,9,1,1,1
36,4,9,2,0,0
36,4,9,3,1,1
37,4,9,1,0,0
37,4,9,2,0,0
37,4,9,3,0,0
38,6,9,1,0,0
38,6,9,2,0,0
38,6,9,3,0,0
39,4,9,1,0,0
39,4,9,2,0,0
39,4,9,3,0,0
40,10,2,1,0,0
40,10,2,2,0,0
40,10,2,3,0,0
41,2,9,1,0,0
41,2,9,2,0,0
41,2,9,3,0,0
42,4,2,1,0,0
42,4,2,2,0,0
42,4,2,3,0,0
43,4,9,1,0,0
43,4,9,2,1,1
43,4,9,3,0,0
44,2,9,1,0,0
44,2,9,2,2,1
44,2,9,3,0,0
45,10,2,1,0,0
45,10,2,2,0,0
45,10,2,3,0,0
46,6,9,1,0,0
46,6,9,2,0,0
46,6,9,3,0,0
47,2,9,1,2,1
47,2,9,2,1,1
47,2,9,3,1,1
48,4,9,1,0,0
48,4,9,2,0,0
48,4,9,3,0,0
49,4,9,1,0,0
49,4,9,2,0,0
49,4,9,3,0,0
50,1,9,1,0,0
50,1,9,2,0,0
50,1,9,3,0,0
51,2,2,1,0,0
51,2,2,2,0,0
51,2,2,3,0,0
52,10,2,1,0,0
52,10,2,2,0,0
52,10,2,3,0,0
53,1,9,1,0,0
53,1,9,2,0,0
53,1,9,3,0,0
54,10,9,1,1,1
54,10,9,2,0,0
54,10,9,3,0,0
55,10,9,1,5,1
55,10,9,2,7,1
55,10,9,3,6,1
56,4,9,1,0,0
56,4,9,2,0,0
56,4,9,3,0,0
57,5,2,1,0,0
57,5,2,2,0,0
57,5,2,3,0,0
58,2,2,1,0,0
58,2,2,2,0,0
58,2,2,3,1,1
59,5,9,1,0,0
59,5,9,2,0,0
59,5,9,3,0,0
60,1,9,1,0,0
60,1,9,2,0,0
60,1,9,3,0,0
61,10,9,1,0,0
61,10,9,2,1,1
61,10,9,3,0,0
62,10,9,1,0,0
62,10,9,2,0,0
62,10,9,3,0,0
63,2,9,1,0,0
63,2,9,2,0,0
63,2,9,3,0,0
64,10,2,1,0,0
64,10,2,2,0,0
64,10,2,3,0,0
65,10,2,1,0,0
65,10,2,2,0,0
65,10,2,3,1,1
66,4,9,1,0,0
66,4,9,2,0,0
66,4,9,3,0,0
67,5,9,1,0,0
67,5,9,2,0,0
67,5,9,3,0,0
68,1,9,1,0,0
68,1,9,2,0,0
68,1,9,3,0,0
69,2,9,1,0,0
69,2,9,2,0,0
69,2,9,3,0,0
70,10,9,1,0,0
70,10,9,2,0,0
70,10,9,3,0,0
71,2,9,1,0,0
71,2,9,2,0,0
71,2,9,3,0,0
72,5,2,1,0,0
72,5,2,2,0,0
72,5,2,3,0,0
73,10,9,1,0,0
73,10,9,2,0,0
73,10,9,3,0,0
74,10,9,1,0,0
74,10,9,2,0,0
74,10,9,3,0,0
75,6,9,1,1,1
75,6,9,2,0,0
75,6,9,3,0,0
76,1,9,1,0,0
76,1,9,2,0,0
76,1,9,3,0,0
77,10,9,1,0,0
77,10,9,2,0,0
77,10,9,3,0,0
78,4,9,1,0,0
78,4,9,2,0,0
78,4,9,3,0,0
