Price Carats Cert Clarity Color 
823 0.18 IGI VVS1 F 
765 0.18 IGI VVS2 F 
803 0.18 IGI IF G 
803 0.18 IGI IF G 
705 0.18 IGI VVS2 G 
725 0.18 IGI IF H 
967 0.19 IGI VVS2 D 
1050 0.19 IGI IF E 
967 0.19 IGI IF F 
863 0.19 IGI VVS1 F 
800 0.19 IGI VVS2 F 
842 0.19 IGI IF G 
800 0.19 IGI VVS1 G 
758 0.19 IGI IF H 
880 0.2 IGI VS1 D 
880 0.2 IGI IF G 
705 0.2 IGI VS1 G 
638 0.2 IGI VS2 G 
919 0.21 IGI VS1 D 
1149 0.21 IGI IF E 
1057 0.21 IGI IF F 
919 0.21 IGI IF G 
1198 0.22 IGI IF E 
1248 0.23 IGI IF E 
1147 0.23 IGI IF F 
995 0.23 IGI IF G 
1108 0.24 IGI IF H 
1485 0.25 IGI IF F 
1283 0.25 IGI IF G 
1149 0.25 IGI IF H 
1082 0.25 IGI IF I 
1539 0.26 IGI IF F 
1365 0.26 IGI VVS1 F 
1260 0.26 IGI VVS2 F 
1121 0.26 IGI IF I 
1595 0.27 IGI IF F 
1233 0.27 IGI IF H 
1199 0.28 IGI IF I 
1471 0.29 IGI IF G 
1238 0.29 IGI IF I 
1302 0.3 GIA VS2 D 
1510 0.3 GIA VS1 E 
1510 0.3 GIA VVS1 G 
1260 0.3 GIA VS1 G 
1580 0.3 IGI VVS2 E 
1459 0.3 IGI VVS2 F 
1459 0.3 IGI VVS1 G 
1218 0.3 IGI VVS2 H 
1299 0.3 IGI IF I 
1641 0.31 GIA VS1 D 
1555 0.31 GIA VS1 E 
1427 0.31 GIA VS1 F 
1427 0.31 GIA VVS2 G 
1126 0.31 GIA VS2 H 
1126 0.31 GIA VS1 I 
1628 0.31 IGI VVS2 E 
1628 0.31 IGI VVS1 F 
1337 0.31 IGI IF I 
1468 0.32 GIA VS1 F 
1202 0.32 GIA VS2 G 
1462 0.32 IGI IF H 
1327 0.33 GIA VS2 E 
1098 0.33 GIA VS2 I 
1503 0.33 IGI IF H 
1693 0.34 GIA VS1 E 
1551 0.34 GIA VS1 F 
1410 0.34 GIA VS1 G 
1269 0.34 GIA VS2 G 
1316 0.34 GIA VS1 H 
1222 0.34 GIA VS2 H 
1773 0.34 IGI VVS1 F 
1636 0.34 IGI VVS2 F 
1738 0.35 GIA VS1 E 
1593 0.35 GIA VS1 F 
1447 0.35 GIA VS1 G 
1255 0.35 GIA VS2 H 
1821 0.35 IGI VVS1 F 
1540 0.35 IGI VVS2 G 
1635 0.36 GIA VS1 F 
1485 0.36 GIA VVS2 H 
1420 0.37 GIA VS2 F 
1420 0.37 GIA VS1 H 
1911 0.4 GIA VS1 F 
1525 0.4 GIA VS1 H 
2276 0.4 IGI IF G 
1956 0.41 GIA VS1 F 
1616 0.41 IGI VVS1 I 
1506 0.41 IGI VVS2 I 
1747 0.43 GIA VVS2 H 
1572 0.45 GIA VS1 I 
2942 0.46 GIA VVS2 E 
2651 0.47 IGI VVS2 F 
2532 0.48 GIA VVS2 G 
2383 0.48 IGI VS1 F 
3501 0.5 GIA VS1 E 
3501 0.5 GIA VS1 E 
3501 0.5 GIA VVS2 F 
3293 0.5 GIA VS1 F 
3016 0.5 GIA VS1 G 
3501 0.5 GIA VS1 E 
3432 0.5 GIA VVS1 G 
3652 0.5 IGI IF G 
3778 0.5 HRD VVS1 F 
3432 0.5 HRD VVS1 G 
3567 0.51 GIA VVS2 F 
3205 0.51 GIA VS1 G 
3851 0.51 GIA VVS1 F 
3722 0.51 IGI VVS2 E 
3722 0.51 IGI VVS1 F 
3851 0.51 HRD VVS1 F 
3490 0.52 GIA VS2 D 
3635 0.52 GIA VS1 E 
3635 0.52 GIA VVS2 F 
3418 0.52 GIA VS1 F 
3095 0.52 IGI IF I 
3346 0.52 HRD VS2 E 
3130 0.52 HRD VVS1 H 
3921 0.53 GIA VS1 D 
3701 0.53 GIA VVS2 F 
3480 0.53 GIA VS1 F 
3407 0.53 GIA VVS2 G 
3995 0.53 HRD VVS1 F 
3701 0.53 HRD VVS2 F 
3767 0.54 GIA VS1 E 
4066 0.54 GIA VVS1 F 
4138 0.55 GIA VVS2 E 
3605 0.55 GIA VS1 F 
3529 0.55 GIA VVS2 G 
3605 0.55 GIA IF H 
3706 0.55 IGI VVS2 F 
3529 0.55 HRD VVS2 G 
3667 0.56 GIA VS1 F 
2892 0.56 GIA VVS2 I 
3900 0.56 GIA VS1 E 
4070 0.56 IGI VVS2 E 
3470 0.56 IGI VVS2 G 
3667 0.56 HRD VS1 F 
3202 0.56 HRD VS2 F 
3651 0.57 GIA VVS2 G 
3415 0.57 GIA VVS1 H 
3256 0.57 HRD VS2 F 
3415 0.57 HRD VVS1 H 
4831 0.58 IGI VVS1 E 
4209 0.58 IGI VVS1 F 
3821 0.58 IGI VVS1 G 
3792 0.58 HRD IF H 
3773 0.59 GIA VVS2 G 
4291 0.6 GIA VS1 F 
4291 0.6 GIA IF H 
3925 0.6 HRD VS1 G 
3421 0.6 HRD VS2 G 
3925 0.6 HRD VVS1 H 
3616 0.61 HRD VVS2 H 
5845 0.62 GIA VVS1 E 
3615 0.62 HRD VVS2 I 
4401 0.63 GIA VVS2 G 
6512 0.63 GIA IF E 
4759 0.64 GIA VVS1 G 
3785 0.64 HRD VVS2 H 
3643 0.65 HRD VVS2 I 
4300 0.66 GIA VVS1 H 
4300 0.66 HRD VVS1 H 
5510 0.7 GIA VS1 F 
5122 0.7 GIA VS1 G 
5122 0.7 GIA VVS2 H 
3861 0.7 GIA VS2 I 
5800 0.7 GIA VS1 E 
6285 0.7 GIA VVS1 F 
5122 0.7 GIA VS2 F 
5122 0.7 GIA VS2 F 
5122 0.7 GIA VS1 G 
5122 0.7 GIA VVS2 H 
5607 0.7 IGI VVS1 G 
5326 0.7 IGI VVS2 G 
6867 0.7 HRD VVS1 E 
6285 0.7 HRD VVS2 E 
5800 0.7 HRD VVS1 G 
5510 0.7 HRD VVS2 G 
4346 0.7 HRD VS2 H 
5881 0.71 GIA VVS2 F 
5586 0.71 GIA VS1 F 
5193 0.71 GIA VS2 F 
5193 0.71 GIA VVS2 H 
6372 0.71 GIA VS1 D 
5881 0.71 GIA VS1 E 
5193 0.71 GIA VVS2 H 
6160 0.71 IGI VS1 D 
6372 0.71 HRD IF G 
5193 0.71 HRD VVS2 H 
5263 0.72 GIA VS2 F 
5961 0.72 GIA VS1 E 
5662 0.72 GIA VVS1 H 
5662 0.72 HRD VVS1 H 
5738 0.73 GIA VS2 E 
5030 0.73 GIA VS1 H 
5030 0.73 GIA VS1 H 
4727 0.73 GIA VVS1 I 
4221 0.73 GIA VS1 I 
5333 0.73 HRD VS2 F 
6041 0.73 HRD VVS1 G 
5815 0.74 GIA VVS2 G 
4585 0.74 GIA VS2 H 
5815 0.74 HRD VVS1 H 
7368 0.75 GIA VVS2 D 
4667 0.75 GIA VVS2 I 
4355 0.75 GIA VS1 I 
9885 0.76 GIA IF D 
6095 0.76 IGI VVS2 F 
6919 0.77 GIA VVS1 F 
5386 0.78 GIA VS1 H 
5937 0.78 IGI VVS2 G 
5441 0.8 GIA VVS2 I 
4832 0.8 GIA VS2 I 
8611 0.8 HRD IF F 
6905 0.8 HRD VS1 F 
6905 0.8 HRD VVS2 G 
6416 0.8 HRD VVS2 H 
6051 0.8 HRD VS1 H 
8715 0.81 HRD VVS1 E 
6988 0.81 HRD VS2 E 
6988 0.81 HRD VS1 F 
6495 0.81 HRD VS1 G 
7358 0.81 HRD IF H 
4948 0.82 GIA VS2 I 
6572 0.82 HRD VS2 F 
7072 0.82 HRD VVS2 G 
7156 0.83 GIA VS2 E 
5705 0.84 GIA VS2 H 
6805 0.85 GIA VS2 F 
8359 0.85 HRD VVS1 F 
6805 0.85 HRD VS2 F 
7711 0.85 HRD VVS1 G 
6882 0.86 GIA VVS2 H 
5835 0.86 HRD VS2 H 
6709 0.89 GIA VS1 H 
6682 0.9 GIA VVS2 I 
7680 0.9 GIA VS1 F 
15582 1 GIA VVS1 D 
11419 1 GIA VS1 D 
10588 1 GIA VS1 E 
9757 1 GIA VS2 E 
13913 1 GIA IF F 
10588 1 GIA VVS2 F 
10713 1 GIA VS1 F 
9480 1 GIA VS2 F 
9896 1 GIA VVS2 G 
9619 1 GIA VS1 G 
9169 1 GIA VS2 G 
9203 1 GIA VS2 G 
8788 1 GIA VS2 H 
8095 1 GIA VS1 I 
7818 1 GIA VS2 I 
9342 1 IGI VVS2 H 
13775 1 HRD VVS2 D 
14051 1 HRD VVS1 E 
11419 1 HRD VVS2 E 
10588 1 HRD VS1 E 
11696 1 HRD VVS1 F 
10588 1 HRD VVS2 F 
10450 1 HRD VVS1 G 
9896 1 HRD VVS2 G 
9203 1 HRD VS2 G 
9480 1 HRD VVS1 H 
9065 1 HRD VS1 H 
8788 1 HRD VS2 H 
8788 1 HRD VVS1 I 
8372 1 HRD VVS2 I 
8095 1 HRD VS1 I 
7818 1 HRD VS2 I 
16008 1.01 GIA VVS1 D 
10692 1.01 GIA VS1 E 
9853 1.01 GIA VS2 E 
10272 1.01 GIA VS1 F 
9573 1.01 GIA VS2 F 
9153 1.01 GIA VS1 H 
8873 1.01 GIA VS2 H 
8873 1.01 GIA VVS1 I 
8455 1.01 GIA VVS2 I 
7895 1.01 GIA VS2 I 
9713 1.01 IGI VS1 G 
8873 1.01 IGI VS2 H 
8175 1.01 IGI VS1 I 
13909 1.01 HRD VVS2 D 
11531 1.01 HRD VVS2 E 
10692 1.01 HRD VS1 E 
11811 1.01 HRD VVS1 F 
10272 1.01 HRD VS1 F 
9993 1.01 HRD VVS2 G 
9293 1.01 HRD VS2 G 
9433 1.01 HRD VVS2 H 
9153 1.01 HRD VS1 H 
8873 1.01 HRD VVS1 I 
8175 1.01 HRD VS1 I 
10372 1.02 GIA VS1 F 
9666 1.02 GIA VS2 F 
10090 1.02 GIA VVS2 G 
10796 1.02 HRD VVS2 F 
8959 1.02 HRD VS2 H 
10900 1.03 GIA VS1 E 
10571 1.04 GIA VS1 F 
9563 1.04 GIA IF I 
8781 1.05 GIA VVS2 I 
9743 1.06 GIA VS2 G 
9302 1.06 GIA VS2 H 
9890 1.06 HRD VVS2 H 
8945 1.07 GIA VVS2 I 
9107 1.09 HRD VVS2 I 
9646 1.1 GIA VS2 H 
