math reading writing gradu
460 370 480 1
530 540 530 0
600 610 410 1
610 630 520 1
480 680 540 1
450 800 630 1
430 570 400 1
430 460 440 1
580 340 620 1
600 600 460 1
370 370 420 0
590 410 620 0
620 470 500 0
380 480 380 0
370 470 410 0
290 400 460 1
390 360 570 1
680 690 520 1
470 650 640 1
560 700 640 1
570 460 520 1
380 480 400 1
620 540 490 1
510 520 390 1
540 410 510 1
590 630 660 0
560 540 510 1
480 510 450 1
350 680 370 1
480 450 520 1
540 580 480 1
480 540 440 1
490 570 460 1
440 470 310 0
530 550 440 1
470 600 550 0
520 250 450 1
310 380 420 1
480 580 470 1
340 280 340 0
