kernel	class	skden	skhard	sksize	skwt	skmst	Type
1	hrw	1.35	60.33	2.30	24.65	12.02	Healthy
2	hrw	1.29	56.09	2.73	33.30	12.17	Healthy
3	hrw	1.23	43.99	2.51	31.76	11.88	Healthy
4	hrw	1.34	53.82	2.27	32.71	12.11	Healthy
5	hrw	1.26	44.39	2.35	26.07	12.06	Healthy
6	hrw	1.30	48.12	2.49	33.30	12.19	Healthy
7	hrw	1.31	48.91	3.06	36.50	11.71	Healthy
8	hrw	1.26	31.22	2.70	30.69	12.28	Healthy
9	hrw	1.29	32.52	2.71	34.13	11.90	Healthy
10	hrw	1.25	23.59	2.18	30.22	11.49	Healthy
11	hrw	1.22	55.39	1.93	22.16	11.66	Healthy
12	hrw	1.26	41.65	2.07	25.71	11.62	Healthy
13	hrw	1.22	23.40	2.24	27.49	11.64	Sprout
14	hrw	1.31	30.23	2.46	37.09	11.76	Sprout
15	hrw	1.08	37.67	1.99	23.82	10.80	Sprout
16	hrw	1.26	44.83	2.73	32.35	11.92	Sprout
17	hrw	1.22	44.76	1.58	17.78	11.26	Sprout
18	hrw	1.27	44.91	2.29	29.39	11.91	Sprout
19	hrw	1.21	48.06	1.69	19.79	11.58	Sprout
20	hrw	1.26	54.86	2.92	33.77	11.63	Sprout
21	hrw	1.23	31.78	2.23	25.48	11.49	Sprout
22	hrw	1.26	13.51	2.16	32.47	11.36	Sprout
23	hrw	1.23	34.42	2.96	36.38	11.90	Sprout
24	hrw	1.14	36.22	2.29	22.63	11.81	Sprout
25	hrw	1.05	97.33	2.80	28.80	11.45	Scab
26	hrw	1.21	67.10	1.80	22.40	11.06	Scab
27	hrw	0.98	81.03	1.08	10.78	10.37	Scab
28	hrw	1.18	36.94	2.48	37.56	11.39	Scab
29	hrw	0.85	-2.50	1.34	13.39	11.89	Scab
30	hrw	0.88	-0.52	2.22	19.43	11.85	Scab
31	hrw	2.03	121.84	0.99	9.36	10.28	Scab
32	hrw	0.92	57.31	1.85	15.29	11.12	Scab
33	hrw	1.23	62.59	2.34	24.06	11.92	Scab
34	hrw	1.12	71.65	1.29	14.69	11.69	Scab
35	hrw	1.27	52.79	2.08	23.58	11.54	Scab
36	hrw	1.27	67.50	2.27	29.51	11.47	Scab
37	hrw	1.19	29.30	1.51	20.38	8.26	Healthy
38	hrw	1.26	4.95	2.82	26.78	8.46	Healthy
39	hrw	1.37	22.25	2.05	30.57	7.57	Healthy
40	hrw	1.31	33.07	2.35	25.60	7.95	Healthy
41	hrw	1.25	11.24	2.67	36.73	7.64	Healthy
42	hrw	1.37	35.60	2.40	31.04	7.23	Healthy
43	hrw	1.34	21.81	2.55	30.81	8.13	Healthy
44	hrw	1.28	45.55	1.46	17.77	8.10	Healthy
45	hrw	1.25	30.71	2.31	29.38	7.83	Healthy
46	hrw	1.31	11.20	2.09	30.81	7.82	Healthy
47	hrw	1.31	23.82	2.23	32.94	7.51	Healthy
48	hrw	1.35	16.67	2.77	31.28	7.09	Healthy
49	hrw	1.15	32.93	1.87	21.80	7.65	Sprout
50	hrw	1.23	-6.30	2.02	25.12	8.45	Sprout
51	hrw	1.22	23.46	2.33	34.72	6.60	Sprout
52	hrw	1.15	-1.03	2.71	31.75	7.59	Sprout
53	hrw	1.18	0.74	2.70	28.32	8.18	Sprout
54	hrw	1.20	-28.85	2.05	29.86	8.45	Sprout
55	hrw	1.22	-22.48	2.51	37.56	7.75	Sprout
56	hrw	1.24	-12.54	2.37	37.92	7.74	Sprout
57	hrw	1.22	-12.58	1.89	28.32	8.22	Sprout
58	hrw	1.27	-25.67	2.52	33.41	8.10	Sprout
59	hrw	1.22	-11.85	3.08	30.10	8.21	Sprout
60	hrw	1.15	-5.58	2.60	31.28	8.46	Sprout
61	hrw	1.18	4.55	2.47	25.35	8.42	Scab
62	hrw	1.23	32.87	1.87	15.16	8.14	Scab
63	hrw	0.94	-6.07	2.53	27.01	8.07	Scab
64	hrw	1.08	36.21	1.49	14.69	10.65	Scab
65	hrw	1.14	26.99	1.71	18.72	11.12	Scab
66	hrw	0.99	-14.54	1.56	17.42	8.84	Scab
67	hrw	0.87	-44.08	1.85	24.76	8.68	Scab
68	hrw	1.23	-6.99	1.89	28.55	8.44	Scab
69	hrw	0.99	-9.62	1.28	16.35	8.37	Scab
70	hrw	0.74	71.12	2.47	34.72	10.24	Scab
71	hrw	1.12	20.46	1.57	17.06	8.65	Scab
72	hrw	1.09	40.74	1.96	17.42	8.42	Scab
73	hrw	1.49	53.09	1.93	20.02	11.98	Healthy
74	hrw	1.19	26.69	1.65	18.96	12.46	Healthy
75	hrw	1.24	52.79	2.47	32.94	12.41	Healthy
76	hrw	1.27	57.33	2.61	34.95	12.29	Healthy
77	hrw	1.24	45.26	2.19	31.75	11.92	Healthy
78	hrw	1.13	56.75	2.27	26.07	12.29	Healthy
79	hrw	1.18	32.57	1.48	18.96	12.03	Healthy
80	hrw	1.22	26.25	2.58	36.49	12.03	Healthy
81	hrw	1.18	55.06	2.04	26.42	11.90	Healthy
82	hrw	1.16	46.65	2.26	28.20	12.21	Healthy
83	hrw	1.30	63.26	2.48	31.99	11.76	Healthy
84	hrw	1.19	55.38	2.10	26.78	11.67	Healthy
85	hrw	1.16	29.68	2.80	31.40	11.91	Sprout
86	hrw	1.24	40.67	2.48	30.57	11.64	Sprout
87	hrw	1.21	40.29	2.80	39.10	12.03	Sprout
88	hrw	1.24	66.82	3.26	34.36	11.71	Sprout
89	hrw	1.18	44.35	2.44	30.45	11.61	Sprout
90	hrw	1.07	51.66	2.42	28.44	12.17	Sprout
91	hrw	1.15	60.11	2.12	21.80	11.32	Sprout
92	hrw	1.13	64.29	2.03	20.50	11.54	Sprout
93	hrw	1.01	48.99	2.44	28.79	11.78	Sprout
94	hrw	1.23	35.76	2.54	32.82	11.71	Sprout
95	hrw	1.18	19.55	2.62	33.77	11.99	Sprout
96	hrw	1.15	25.43	2.66	33.65	12.51	Sprout
97	hrw	1.02	69.64	1.90	18.60	11.58	Scab
98	hrw	0.85	55.42	1.62	15.52	11.09	Scab
99	hrw	1.17	22.72	1.84	27.61	11.51	Scab
100	hrw	1.10	36.01	2.61	31.04	12.09	Scab
101	hrw	0.93	44.05	1.97	17.77	11.57	Scab
102	hrw	1.18	0.34	1.77	22.39	11.50	Scab
103	hrw	1.07	51.44	2.52	27.96	11.37	Scab
104	hrw	1.18	77.48	2.45	25.71	11.66	Scab
105	hrw	1.20	42.63	2.76	35.55	11.78	Scab
106	hrw	1.65	14.12	1.84	21.80	12.26	Scab
107	hrw	0.89	52.24	2.34	30.69	11.59	Scab
108	hrw	1.08	40.01	2.08	23.22	11.63	Scab
109	hrw	1.31	56.27	2.30	26.43	7.31	Healthy
110	hrw	1.38	53.07	2.43	26.54	7.22	Healthy
111	hrw	1.24	51.50	1.97	24.06	7.80	Healthy
112	hrw	1.26	74.20	2.10	21.45	7.29	Healthy
113	hrw	1.29	-11.69	1.88	26.43	8.56	Healthy
114	hrw	1.31	53.18	2.53	35.55	6.69	Healthy
115	hrw	1.31	65.76	2.81	34.72	6.49	Healthy
116	hrw	1.31	73.33	2.20	26.31	6.98	Healthy
117	hrw	1.35	22.91	2.88	32.47	7.61	Healthy
118	hrw	1.26	50.51	2.21	26.78	7.73	Healthy
119	hrw	1.31	49.32	2.41	24.65	7.44	Healthy
120	hrw	1.28	70.97	3.09	25.00	7.54	Healthy
121	hrw	1.20	70.86	2.60	24.53	7.94	Sprout
122	hrw	1.19	61.95	2.26	26.43	7.16	Sprout
123	hrw	1.28	36.16	1.84	22.04	8.12	Sprout
124	hrw	1.19	53.86	2.77	30.93	6.96	Sprout
125	hrw	1.18	45.66	1.51	19.43	7.96	Sprout
126	hrw	1.25	34.70	3.68	29.39	7.27	Sprout
127	hrw	1.30	-7.17	1.87	26.31	8.69	Sprout
128	hrw	1.07	111.93	1.79	17.78	7.09	Sprout
129	hrw	1.19	20.10	2.01	25.24	7.60	Sprout
130	hrw	1.11	62.58	2.42	25.00	8.28	Sprout
131	hrw	1.23	19.49	2.19	29.15	7.69	Sprout
132	hrw	1.38	70.86	2.60	24.53	7.94	Sprout
133	hrw	1.04	11.25	1.78	23.23	7.98	Scab
134	hrw	0.98	-10.99	2.43	25.71	7.97	Scab
135	hrw	0.99	-23.09	2.10	24.29	8.78	Scab
136	hrw	0.93	26.51	2.08	28.56	7.51	Scab
137	hrw	1.07	31.05	2.41	26.07	7.99	Scab
138	hrw	1.11	5.63	2.66	30.22	7.87	Scab
139	hrw	0.91	-10.82	2.05	29.39	8.49	Scab
140	hrw	1.13	33.45	0.95	11.26	8.62	Scab
