age	children
31	1
34	0
34	0
31	1
43	0
32	0
36	0
31	0
38	0
36	1
35	0
22	0
33	0
25	0
26	3
28	0
32	1
32	2
29	0
25	0
27	0
26	1
32	2
29	0
25	0
31	1
42	7
32	1
39	1
39	0
28	0
41	3
36	2
28	0
23	0
19	0
31	2
29	1
29	0
34	0
28	0
37	0
24	0
28	1
34	0
28	0
31	0
33	2
29	0
31	0
36	3
27	0
34	2
27	0
28	2
32	0
31	1
30	1
37	1
20	0
31	0
28	0
40	0
36	1
29	0
31	1
36	0
37	0
31	1
36	2
21	0
28	0
35	2
23	1
33	1
30	0
27	0
35	0
26	1
20	0
32	2
29	0
26	0
37	0
26	0
35	0
20	0
31	0
30	1
37	0
29	1
29	0
31	0
31	1
27	0
18	0
25	0
20	0
34	0
40	3
27	2
33	0
33	0
35	2
29	0
29	0
37	0
23	0
36	1
26	0
35	2
28	0
25	1
30	2
26	0
21	0
28	0
25	0
30	3
35	0
36	0
30	0
33	0
29	0
28	0
24	0
24	0
29	0
30	2
30	1
21	0
37	3
34	1
31	1
21	1
25	0
17	0
32	0
20	0
29	1
42	1
