gender	age	deaths	popn	l_popn	agemidpt
Male	<25	3	1141100	13.947503267	20
Male	25-34	0	485571	13.093080797	30
Male	35-44	12	504312	13.130950403	40
Male	45-54	25	447315	13.011018323	50
Male	55-64	61	330902	12.709577538	60
Male	65-74	130	226403	12.330071876	70
Male	75-84	192	130527	11.779335381	80
Male	85+	102	29785	10.301760190	90
Female	<25	2	1086408	13.898387400	20
Female	25-34	1	489948	13.102054542	30
Female	35-44	3	504030	13.130391069	40
Female	45-54	11	445763	13.007542700	50
Female	55-64	30	323669	12.687476668	60
Female	65-74	63	241488	12.394575061	70
Female	75-84	174	179686	12.098966162	80
Female	85+	159	67203	11.115473168	90
					
